#         t          x          y          z         vx         vy         vz
      0.000   -476.240    491.430   -412.430     44.340    101.220    141.390
     71.429   -472.950    498.960   -402.000     50.120    107.170    147.800
    142.857   -469.320    506.750   -391.400     58.020    111.730    151.010
    214.286   -465.060    515.040   -380.290     63.630    116.210    160.090
    285.714   -460.230    523.510   -368.450     72.270    124.960    171.100
    357.143   -454.680    532.660   -355.790     82.680    129.030    183.840
    428.571   -448.070    541.950   -342.360     94.750    133.400    191.160
    500.000   -440.870    551.420   -328.540    107.370    134.080    200.580
    571.429   -432.490    561.120   -313.970    130.800    138.140    212.260
    642.857   -422.400    570.860   -298.360    153.990    135.580    225.420
    714.286   -410.480    580.360   -281.690    178.990    127.220    236.460
    785.714   -396.660    588.870   -264.610    206.310    112.790    241.550
    857.143   -380.890    596.270   -247.150    237.720     93.210    246.680
    928.571   -362.750    601.810   -229.360    265.180     60.810    247.720
   1000.000   -343.110    605.060   -212.170    279.320     31.320    237.270
   1071.429   -323.070    606.310   -195.680    286.860      1.920    220.580
   1142.857   -302.660    605.500   -180.480    286.500    -25.060    204.070
   1214.286   -282.300    602.770   -166.520    281.220    -52.080    188.090
   1285.714   -262.570    598.370   -153.540    273.300    -68.560    176.580
   1357.143   -243.370    592.950   -141.400    263.400    -81.620    163.820
   1428.571   -224.780    586.590   -130.120    255.680    -97.030    149.650
   1500.000   -206.950    579.260   -119.870    243.950   -107.290    138.180
   1571.429   -189.870    571.290   -110.330    236.130   -116.020    129.740
   1642.857   -173.320    562.780   -101.470    226.570   -121.630    120.480
   1714.286   -157.460    553.800    -93.080    217.750   -131.120    113.580
   1785.714   -142.220    544.260    -85.330    208.030   -135.620    104.700
   1857.143   -127.690    534.380    -78.130    200.150   -142.040     97.210
   1928.571   -113.710    524.070    -71.440    191.400   -147.290     90.740
   2000.000   -100.330    513.270    -65.180    183.370   -154.000     85.250
   2071.429    -87.650    502.060    -59.300    171.790   -157.810     79.140
   2142.857    -75.610    490.790    -53.850    167.740   -158.290     72.690
   2214.286    -64.010    479.350    -48.910    156.480   -162.070     68.070
   2285.714    -53.000    467.620    -44.160    151.550   -165.820     63.750
   2357.143    -42.380    455.620    -39.850    145.210   -169.640     58.700
   2428.571    -32.340    443.380    -35.710    136.430   -171.140     56.450
   2500.000    -23.090    431.110    -31.740    125.530   -175.880     53.640
   2571.429    -14.360    418.430    -28.160    117.840   -179.970     45.560
   2642.857     -6.220    405.460    -24.940    109.840   -185.200     43.790
   2714.286      1.380    392.090    -21.980    103.000   -186.630     37.940
   2785.714      8.570    378.740    -19.460     98.370   -189.840     33.840
   2857.143     15.190    364.900    -17.100     88.120   -196.560     29.940
   2928.571     20.970    350.750    -15.010     77.680   -200.240     25.220
   3000.000     26.210    336.340    -13.360     68.530   -203.590     22.210
   3071.429     30.760    321.630    -11.840     57.250   -208.830     18.710
   3142.857     34.550    306.560    -10.610     47.660   -213.640     15.190
   3214.286     37.590    291.160     -9.790     36.070   -218.620      8.850
   3285.714     39.550    275.340     -9.460     21.470   -222.900      3.880
   3357.143     40.450    259.280     -9.320      5.770   -227.880     -0.200
   3428.571     40.090    242.860     -9.490    -13.890   -231.290     -6.230
   3500.000     38.430    226.070    -10.290    -31.270   -237.890    -13.840
   3571.429     35.470    208.830    -11.440    -53.650   -244.330    -20.130
   3642.857     30.840    191.180    -13.310    -79.500   -246.340    -32.970
   3714.286     23.910    173.660    -16.030   -114.540   -243.020    -43.370
   3785.714     14.530    156.630    -19.660   -151.500   -232.330    -56.600
   3857.143      2.450    140.770    -24.260   -187.640   -210.100    -71.500
   3928.571    -12.010    126.670    -29.660   -220.870   -179.010    -81.120
   4000.000    -28.710    115.660    -35.720   -247.190   -128.840    -83.960
   4071.429    -46.980    108.390    -41.630   -257.500    -70.840    -79.290
   4142.857    -65.250    105.740    -46.980   -250.200     -2.360    -66.310
   4214.286    -82.120    108.180    -50.990   -219.180     67.860    -48.810
   4285.714    -96.080    115.230    -53.680   -166.610    123.500    -28.270
   4357.143   -105.730    125.330    -54.950   -104.260    155.200     -8.280
   4428.571   -111.070    137.020    -55.000    -46.970    168.810      6.280
   4500.000   -112.630    149.090    -54.140      0.820    169.320     15.440
   4571.429   -111.130    161.080    -52.670     39.010    165.360     24.920
   4642.857   -107.070    172.680    -50.610     71.910    159.840     30.780
   4714.286   -100.860    183.850    -48.130    101.170    152.990     37.860
   4785.714    -92.720    194.500    -45.030    126.420    145.490     48.050
   4857.143    -82.940    204.580    -41.140    148.250    137.460     59.900
   4928.571    -71.680    214.180    -36.470    166.510    130.370     71.920
   5000.000    -59.140    223.180    -30.860    184.390    124.290     86.360
   5071.429    -45.270    231.930    -24.010    205.100    120.900    106.310
   5142.857    -29.790    240.330    -15.170    230.990    114.250    145.200
   5214.286    -12.430    247.730     -2.600    255.230     86.230    213.510
   5285.714      5.420    250.960     15.330    232.340     -5.270    277.390
   5357.143     20.120    247.530     34.750    180.120    -80.520    258.780
   5428.571     31.580    240.480     51.900    142.390   -112.760    221.210
   5500.000     40.910    231.760     66.440    117.430   -132.010    184.240
   5571.429     48.490    222.020     78.470     95.560   -142.060    155.190
   5642.857     54.860    211.580     88.610     78.700   -150.090    126.500
   5714.286     59.290    200.340     96.630     62.770   -158.390    104.230
   5785.714     63.250    188.880    103.380     48.880   -161.830     81.580
   5857.143     66.380    177.120    108.420     33.970   -168.720     59.150
   5928.571     68.410    165.120    111.760     19.930   -166.910     36.080
   6000.000     69.470    153.150    113.480      8.670   -168.450     10.210
   6071.429     70.400    141.420    114.100     -2.970   -165.060    -11.120
   6142.857     69.490    129.730    112.350    -19.250   -161.020    -37.100
   6214.286     67.030    118.260    108.070    -31.110   -153.960    -64.840
   6285.714     64.190    107.640    102.250    -48.450   -141.630    -97.800
   6357.143     60.240     98.080     94.150    -63.420   -125.300   -129.770
   6428.571     55.250     89.900     83.690    -75.770   -103.060   -164.900
   6500.000     49.320     83.600     70.720    -90.330    -72.270   -196.920
   6571.429     42.320     80.000     55.460   -102.810    -25.680   -229.890
   6642.857     34.770     80.220     38.140   -108.530     34.650   -253.680
   6714.286     27.120     85.580     19.850   -100.240    115.030   -253.530
   6785.714     20.790     96.510      2.780    -75.440    185.510   -216.820
   6857.143     16.650    111.390    -10.470    -39.950    224.770   -152.330
   6928.571     14.970    127.690    -19.100     -9.700    230.240    -88.240
   7000.000     15.510    143.850    -23.450     20.350    216.300    -36.820
   7071.429     17.620    158.530    -24.600     40.140    195.120      3.540
   7142.857     21.040    171.630    -23.230     55.440    171.560     35.760
   7214.286     25.400    182.930    -19.740     65.350    145.700     62.910
